Name,Album,Artist,Release_date,Length,popularity,acousticness,danceability,energy,instrumentalness,liveness,key,loudness,valence,speechiness,tempo,mode
Any song,Any song,ZICO,2020-01-13,227226,70,0.118,0.874,0.787,0.0,0.11,10,-2.416,0.896,0.129,108.007,0
METEOR,Boyhood,CHANGMO,2019-11-29,197096,51,0.316,0.728,0.642,0.0,0.0834,8,-4.989,0.755,0.0727,185.795,1
Aloha,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 3",CHO JUNG SEOK,2020-03-27,244999,63,0.401,0.672,0.601,0.0,0.0912,2,-3.886,0.487,0.024,98.991,1
Your Shampoo Scent In The Flowers,"Be Melodramatic (Original Television Soundtrack), Pt. 3",Jang Beom June,2019-08-23,168492,50,0.321,0.672,0.774,0.0,0.12,11,-3.673,0.702,0.0278,100.002,1
eight(Prod.&Feat. SUGA of BTS),eight,IU,2020-05-06,167573,75,0.115,0.676,0.869,0.0,0.132,1,-1.573,0.594,0.0423,120.029,1
Blueming,Love poem,IU,2019-11-18,217053,69,0.0849,0.819,0.674,0.0,0.0667,0,-3.145,0.682,0.0587,106.032,1
Late Night,Late Night,Noel,2019-11-07,216026,42,0.672,0.475,0.458,0.0,0.0814,6,-5.72,0.342,0.0444,67.347,1
시작,ITAEWON CLASS (Original Television Soundtrack) Pt.2,Gaho,2020-02-01,202440,66,0.172,0.591,0.818,0.0,0.126,4,-3.532,0.574,0.073,108.107,1
Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,BTS,2019-04-12,229773,81,0.0923,0.645,0.862,0.0,0.192,11,-4.757,0.798,0.0965,119.991,0
Psycho,‘The ReVe Festival’ Finale,Red Velvet,2019-12-23,210560,77,0.193,0.664,0.666,0.0,0.0854,8,-2.203,0.405,0.0446,139.987,1
"How can I love the heartbreak, you're the one I love",SAILING,AKMU,2019-09-25,290095,67,0.91,0.52,0.248,1.36e-06,0.118,5,-8.675,0.228,0.0355,129.214,1
Dynamite,BE,BTS,2020-11-20,199053,87,0.0112,0.746,0.765,0.0,0.0936,6,-4.41,0.737,0.0993,114.044,0
Give You My Heart,Crash Landing on You OST Part 11,IU,2020-02-15,280360,62,0.683,0.344,0.43,0.0,0.0881,8,-5.503,0.385,0.0434,167.332,1
BLOOM,CEREMONIA,M.C the Max,2020-03-25,232120,33,0.573,0.441,0.542,0.0,0.39,11,-4.278,0.217,0.031,137.845,0
How You Like That,THE ALBUM,BLACKPINK,2020-10-02,182956,79,0.0465,0.812,0.761,0.000135,0.0601,11,-5.222,0.344,0.0812,130.032,1
Nonstop,NONSTOP,OH MY GIRL,2020-04-27,202760,65,0.171,0.753,0.91,0.0,0.367,0,-2.591,0.825,0.0517,123.983,1
ON,MAP OF THE SOUL : 7,BTS,2020-02-21,246380,76,0.118,0.583,0.817,0.0,0.338,9,-5.146,0.438,0.0987,105.936,0
To You My Light (feat. Lee Raon),Red Moon: To You My Light,MAKTUB,2019-06-09,265586,53,0.242,0.509,0.573,0.0,0.155,5,-5.29,0.305,0.0333,149.948,1
Downtown Baby,Downtown Baby,BLOO,2017-12-06,196533,60,0.349,0.551,0.619,0.0,0.109,4,-5.606,0.28,0.0651,177.879,0
Maria,María,Hwa Sa,2020-06-29,199026,74,0.238,0.658,0.749,2.03e-06,0.272,9,-2.967,0.442,0.0634,128.909,0
I Need You,I Need You,OVAN,2020-03-06,230769,52,0.48,0.653,0.761,0.0,0.294,11,-5.283,0.768,0.165,142.89,1
"Every day, Every Moment","Should We Kiss First? (Original Television Soundtrack), Pt. 3",Paul Kim,2018-03-20,210493,57,0.859,0.47,0.288,1.78e-05,0.103,8,-9.434,0.153,0.0279,133.25,1
Beach Again,Beach Again,SSAK3,2020-07-18,233853,47,0.0463,0.563,0.951,0.0,0.341,0,-1.693,0.614,0.123,131.958,0
Dolphin,NONSTOP,OH MY GIRL,2020-04-27,176773,66,0.171,0.858,0.68,0.0,0.173,4,-4.531,0.621,0.0795,113.993,1
I Knew I Love,"HOSPITAL PLAYLIST (Original Television Soundtrack), Pt. 11",OOHYO,2020-05-22,261506,56,0.213,0.513,0.696,0.0,0.0783,7,-3.639,0.17,0.0366,135.999,1
